start_seconds,end_seconds,label,avg_energy,avg_line_length,zero_crossing_rate,delta_power,theta_power,alpha_power,beta_power,gamma_power,hfo_power,hfo_to_beta,hfo_to_total,pac_proxy,wavelet_detail_energy,wavelet_entropy,sample_entropy,katz_fractal_dimension,higuchi_fractal_dimension,mean_abs_connectivity,max_abs_connectivity,connectivity_spread,spatial_concentration,channel_energy_iqr
0.0,1.998046875,interictal,0.4789058195745031,0.31779112067154186,0.14817530140110785,0.0016771233448203218,0.014556803026356167,0.014887974749224328,0.00015625328886134903,8.312638495909823e-05,8.804006737597613e-05,0.5634409654770998,0.002799426574710402,0.03848904232358161,3.072445658518948,0.585321982746706,2.1676862685656073,3.110902556393382,1.4997818197677146,0.2940114778776006,0.7239405462104099,0.7238607631970522,0.08496615141157844,0.010493794660941302
1.0,2.998046875,interictal,0.47350593042939765,0.31764781502083533,0.14410231345715216,0.001629699368254139,0.014159225763969009,0.014560805470984962,0.00016768457667223818,9.493783251156571e-05,7.25131997841309e-05,0.43243552142750336,0.0023631583373890886,0.05193563180913807,3.0313536303474096,0.5860446541079757,2.397838012360442,3.4494479523180988,1.5101035629054629,0.27418847582102335,0.5417761036566671,0.513800694428227,0.08928868395302648,0.01727035383425224
2.0,3.998046875,interictal,0.47321080056246667,0.315317903227098,0.14516129032258066,0.0018738313222852855,0.01397828667424725,0.014359268513752556,0.00015760469265140375,9.337651778450824e-05,7.779150401223184e-05,0.4935830851255675,0.0025471871607677964,0.054800494125642106,3.0017124500236085,0.5895141100397431,2.4167828155273683,3.3777062524854014,1.5156359083907478,0.2577598099551839,0.4691628309740469,0.45603884428008595,0.08991799280386818,0.017132322622940066
3.0,4.998046875,interictal,0.47439459511825444,0.31637140760902854,0.14996741609644834,0.0015908930005573217,0.013970139795508797,0.014310838195080713,0.00015428244956225079,8.425596601804007e-05,7.18711625073381e-05,0.4658384467761028,0.0023812368969679926,0.039006076822764475,3.0690242078223675,0.5931135102729758,2.3613151850677556,3.317037469483246,1.5217110901226931,0.24414196147463166,0.5436183275117256,0.5319103708275362,0.08864376756631234,0.01009785189781176
4.0,5.998046875,interictal,0.4736065130065925,0.31686031038622,0.14320625610948193,0.0015938876985398332,0.014231379004837001,0.01451445209222914,0.00018508651112174993,8.648092853006815e-05,6.563042069045745e-05,0.3545912973419692,0.002139407271177772,0.04264885049765283,3.1584003959527465,0.5835626512562947,2.244307262533931,3.443434195565162,1.5315046862446244,0.2669539006523004,0.4899612320039846,0.48337140966685044,0.08686851175142049,0.014675565205878038
5.0,6.998046875,interictal,0.4680417531823031,0.317527905249843,0.14108830237862496,0.0017356309915009564,0.013697227450280682,0.014147190556384713,0.00018239080297337076,9.727044700386132e-05,8.46574779846592e-05,0.4641517689093693,0.0028271585472025838,0.05217924684246878,3.0303025647202944,0.5857284640742463,2.124544936091373,3.280733765907417,1.524008567131018,0.2863044819140086,0.6841589941916258,0.6724027839260452,0.08684258582162922,0.015645171057093676
6.0,7.998046875,interictal,0.4747634564500247,0.31986781289117067,0.14687194525904204,0.001600250459940957,0.014164870777374342,0.014493920375566077,0.00018873579758084101,8.46763255976093e-05,7.650092124682064e-05,0.40533124556197503,0.0024992986400226677,0.04876981107409636,3.0613588461992993,0.5897330068663146,2.298625408276443,3.57055299125306,1.5247196997876353,0.2513069740027972,0.4641142598479554,0.46345018958424705,0.08761285173162585,0.008853184393983582
7.0,8.998046875,interictal,0.4801640298998208,0.3198651169750873,0.14866405995438253,0.0018684159434879848,0.014452574459154861,0.014854652673984463,0.000173353195850683,7.788449097034087e-05,7.144681866764907e-05,0.41214357874088675,0.002268273330166951,0.04691246168474076,3.1911911825869903,0.5735320070731506,2.214084553822006,3.5555272997238467,1.522326050145406,0.2590691764895596,0.5201603423497466,0.5038390986142124,0.08553306706549835,0.01838289158737244
8.0,9.998046875,interictal,0.4697767290773782,0.32072531340296323,0.15452916259367874,0.0016506984525062284,0.013926917506177363,0.014254582692664877,0.0001706104323933187,7.485039917363714e-05,6.0152578273692856e-05,0.3525706186852722,0.001995917160663398,0.04872833105414745,2.5648515101160236,0.6411659779212032,2.1318452663771357,3.4314273714880605,1.5204159872185021,0.39681964913835205,0.7465861393472395,0.7458876516211402,0.08674479314246529,0.01884994500704834
9.0,10.998046875,interictal,0.47138749036025157,0.32128031248009764,0.15664711632453568,0.0016843055403779792,0.013855006431328082,0.014136268002000997,0.00016824070591116457,8.161670537996906e-05,7.442545639491983e-05,0.44237221675711114,0.002480859806177831,0.04249923567992949,2.4798121723651616,0.6528267964720736,2.293701910854066,3.3511408364288524,1.5226409792032058,0.3422683864653485,0.7464593259163348,0.7357935424653504,0.08634630575475337,0.013437289390617668
