start_seconds,end_seconds,sample_count,mean_mv,peak_to_peak_mv,heart_rate_bpm,rr_std_ms,rmssd_ms,peak_count,lead_off_fraction,signal_quality,autonomic_stress
0.0,1.998046875,500,851.3431414320007,343.8268499616804,72.63922518159806,8.48528137423857,12.0,3,0.0,1.0,0.2975
1.0,2.998046875,500,842.1371923641752,332.5265714017461,73.52941176470587,0.0,0.0,2,0.0,1.0,0.0875
2.0,3.998046875,500,827.5164241563131,338.5138474202889,73.89162561576356,0.0,0.0,2,0.0,1.0,0.0875
3.0,4.998046875,500,831.0871135709621,341.6716838954245,74.81296758104736,2.828427124745547,3.9999999999990905,3,0.0,1.0,0.33250000000000396
4.0,5.998046875,500,846.1994386714094,335.2495139378469,75.18796992481202,2.828427124747155,4.000000000001364,3,0.0,1.0,0.332499999999994
5.0,6.998046875,500,846.7579195732745,325.2370490445212,75.7575757575757,0.0,0.0,2,0.0,1.0,0.0875
6.0,7.998046875,500,832.8385723833327,332.89988459468293,75.75757575757578,0.0,0.0,2,0.0,1.0,0.0875
7.0,8.998046875,500,829.2099811489511,328.85009971068314,75.9493670886076,2.8284271247458683,3.9999999999995453,3,0.0,1.0,0.33250000000000196
8.0,9.998046875,500,840.6243046587749,344.918714853659,75.75757575757578,0.0,0.0,3,0.0,1.0,0.0875
9.0,10.998046875,500,846.7143659739587,323.437352428767,76.1421319796954,0.0,0.0,2,0.0,1.0,0.0875
10.0,11.998046875,500,838.8442472718833,331.50809133314215,75.37688442211062,0.0,0.0,2,0.0,1.0,0.0875
11.0,12.998046875,500,831.6304914831164,340.97562861416577,75.00000000000003,5.656854249493024,8.00000000000091,3,0.0,1.0,0.314999999999996
12.0,13.998046875,500,835.5595284870226,340.31188187477755,74.62686567164177,0.0,0.0,3,0.0,1.0,0.0875
13.0,14.998046875,500,842.7529581470034,337.1240487256763,73.89162561576345,0.0,0.0,2,0.0,1.0,0.0875
14.0,15.998046875,500,842.8666311752402,335.89626473923136,73.1707317073172,0.0,0.0,2,0.0,1.0,0.0875
15.0,16.998046875,500,836.7478056334044,356.2630438420989,72.463768115942,5.656854249492943,8.000000000000796,3,0.0,1.0,0.3149999999999965
16.0,17.998046875,500,831.1857004643441,334.4368546604727,71.77033492822964,5.6568542494918175,7.999999999999204,3,0.0,1.0,0.31500000000000344
17.0,18.998046875,500,838.3051236804596,333.19861344980677,70.75471698113216,0.0,0.0,2,0.0,1.0,0.0875
18.0,19.998046875,500,846.5945604187074,328.2593058993167,70.42253521126757,0.0,0.0,2,0.0,1.0,0.0875
19.0,20.998046875,500,840.5317891910612,333.9168239332047,69.76744186046517,0.0,0.0,2,0.0,1.0,0.0875
20.0,21.998046875,500,829.846172379183,342.4667795394289,69.12442396313348,0.0,0.0,2,0.0,1.0,0.0875
21.0,22.998046875,500,831.456048054408,350.0197224598925,68.64988558352398,2.828427124747155,4.000000000001364,3,0.0,1.0,0.332499999999994
22.0,23.998046875,500,842.8007443711413,350.0197224598925,68.18181818181826,5.656854249489245,7.999999999995566,3,0.0,1.0,0.3150000000000194
23.0,24.998046875,500,848.104742518802,327.58870111385727,68.18181818181799,0.0,0.0,2,0.0,1.0,0.0875
24.0,25.998046875,500,840.6377116507148,344.1255144709353,68.18181818181826,0.0,0.0,2,0.0,1.0,0.0875
25.0,26.998046875,500,829.5253020664026,333.7176305841572,67.87330316742079,0.0,0.0,2,0.0,1.0,0.0875
26.0,27.998046875,500,832.5851508730759,338.85652768115006,68.49315068493141,0.0,0.0,2,0.0,1.0,0.0875
27.0,28.998046875,500,842.7457310349854,336.977815498573,68.18181818181826,0.0,0.0,2,0.0,1.0,0.0875
28.0,29.998046875,500,844.3811230429396,346.0384947568547,69.28406466512705,2.8284271247445822,3.9999999999977263,3,0.0,1.0,0.3325000000000099
29.0,30.998046875,500,834.5358731039743,346.0384947568547,69.60556844547563,2.828427124747155,4.000000000001364,3,0.0,1.0,0.332499999999994
30.0,31.998046875,500,832.3330965632396,329.294319399973,70.42253521126757,0.0,0.0,2,0.0,1.0,0.0875
31.0,32.998046875,500,841.2964193353251,344.1005269740539,71.09004739336483,0.0,0.0,2,0.0,1.0,0.0875
32.0,33.998046875,500,844.1196348397335,328.2920967602204,71.77033492822979,0.0,0.0,2,0.0,1.0,0.0875
