timestamp_seconds,raw_count,millivolts,lead_off,source
0.0,1133,913.0441318373838,False,simulated-ad8232
0.004,1159,934.3373479377253,False,simulated-ad8232
0.008,1210,975.5282650371003,False,simulated-ad8232
0.012,1292,1041.9452189968133,False,simulated-ad8232
0.016,1383,1114.69189222191,False,simulated-ad8232
0.02,1458,1175.1168153571612,False,simulated-ad8232
0.024,1503,1211.4346213485608,False,simulated-ad8232
0.028,1474,1187.8480516874572,False,simulated-ad8232
0.032,1397,1126.4910648820667,False,simulated-ad8232
0.036000000000000004,1304,1051.6348465559574,False,simulated-ad8232
0.04,1223,985.9407995214319,False,simulated-ad8232
0.044,1172,945.2165180166973,False,simulated-ad8232
0.048,1140,919.2334043048781,False,simulated-ad8232
0.052000000000000005,1124,906.5315475809949,False,simulated-ad8232
0.056,1116,899.3776458929991,False,simulated-ad8232
0.06,1113,897.2355539433646,False,simulated-ad8232
0.064,1119,902.1568229333626,False,simulated-ad8232
0.068,1124,906.5805401221472,False,simulated-ad8232
0.07200000000000001,1119,901.7914309694296,False,simulated-ad8232
0.076,1118,901.5909945153609,False,simulated-ad8232
0.08,1122,904.6534092401301,False,simulated-ad8232
0.084,1113,897.3645430396119,False,simulated-ad8232
0.088,1120,902.7492103074408,False,simulated-ad8232
0.092,1125,906.9689279821313,False,simulated-ad8232
0.096,1128,909.7168079912406,False,simulated-ad8232
0.1,1125,906.6913114106902,False,simulated-ad8232
0.10400000000000001,1130,910.8023481782084,False,simulated-ad8232
0.108,1131,912.1243722650414,False,simulated-ad8232
0.112,1136,916.2554105648715,False,simulated-ad8232
0.116,1130,910.7755453977984,False,simulated-ad8232
0.12,1141,919.6447598309675,False,simulated-ad8232
0.124,1133,913.4190543666803,False,simulated-ad8232
0.128,1130,910.9788571825577,False,simulated-ad8232
0.132,1142,920.8024830810067,False,simulated-ad8232
0.136,1142,921.0492102298125,False,simulated-ad8232
0.14,1153,929.3459706692979,False,simulated-ad8232
